regulatoryGene,targetGene,weight,cor,p.adj,log10padj
FBgn0261848,FBgn0039079,0.0124028980428428,0.6417096039241,0.0863014709506846,-1.06398180196357
FBgn0040717,FBgn0047199,0.0116467823184896,0.632109943131373,0.0926597540053049,-1.03310885710373
FBgn0036514,FBgn0042187,0.0115656599035094,0.325393241613316,0.431585815701743,-0.3649328370746
FBgn0259231,FBgn0265713,0.0115595478553906,0.634799930502755,0.0908516605435395,-1.04166713045495
FBgn0000711,FBgn0267213,0.01134987870736,0.518419777069557,0.188083109672471,-0.72565020341507
FBgn0263463,FBgn0035887,0.0111327736143711,0.917216359057945,0.00133171573205448,-2.87558846974202
FBgn0031800,FBgn0041238,0.0108483275434781,0.306325983212283,0.460557673531738,-0.336715977349345
FBgn0030364,FBgn0005779,0.0107701696621937,0.590770956079776,0.123050628565199,-0.909916163499577
FBgn0035887,FBgn0036707,0.010685384941944,0.759449733162318,0.028822249775621,-1.54027212251567
FBgn0267219,FBgn0265196,0.01047455108541,0.671582642451592,0.0681762757192442,-1.16636672676155
FBgn0028986,FBgn0267470,0.0103995876021581,0.872045944055952,0.00474750398320245,-2.32353466221346
FBgn0032955,FBgn0265895,0.0102675734381557,0.608933018793283,0.109094273404809,-0.9621980458733
FBgn0011705,FBgn0265910,0.0101092716846033,0.704414324674379,0.0510969752340757,-1.29160480785023
FBgn0041224,FBgn0262356,0.0101056198608692,0.505976997439609,0.200777688616078,-0.697284549740587
FBgn0035520,FBgn0085200,0.010053780351557,0.730249568500451,0.0396790484114481,-1.40143875170467
FBgn0264265,FBgn0051002,0.0100135750035814,0.878928525641673,0.0040436374503793,-2.39322778986591
FBgn0010235,FBgn0267110,0.00991518825438802,0.627034267107488,0.0961275270317555,-1.01715223016558
FBgn0082967,FBgn0086658,0.009907197134326,0.719709853711646,0.044126878494792,-1.3552967931609
FBgn0053775,FBgn0266679,0.00988143320342321,0.760597090128229,0.028438476384627,-1.54609367501239
FBgn0036801,FBgn0266821,0.00979091655612406,0.421073324002664,0.298845472883301,-0.524553318771886
FBgn0034480,FBgn0265766,0.00968380453149393,0.575944299173169,0.135149091087011,-0.869186870699426
FBgn0033238,FBgn0038356,0.00964630220019874,0.802365973903437,0.0165510987225716,-1.78117317087246
FBgn0000927,FBgn0047199,0.00960097669822726,0.701622617409004,0.0524359420311588,-1.28037092532801
FBgn0034963,FBgn0047199,0.00960097669822726,0.775078964712227,0.0238637782693864,-1.62226079488021
FBgn0015000,FBgn0085230,0.00960032864919887,0.734479265845332,0.0379742208802537,-1.42051112782404
FBgn0003310,FBgn0050043,0.00954215214981092,0.837690166989452,0.00943085472011769,-2.02544894528927
FBgn0034060,FBgn0085296,0.00950818007009258,0.584756898429621,0.127881582844927,-0.893191996918936
FBgn0038788,FBgn0053333,0.00947995646109561,0.72054256974193,0.0437650161460345,-1.35887290697411
FBgn0038938,FBgn0063261,0.0094147516762083,0.816995413263581,0.0132962951186061,-1.87626935404735
FBgn0003885,FBgn0050268,0.00940733753957398,0.482422795209052,0.22600239461699,-0.645886959244478
FBgn0027585,FBgn0261992,0.00938697542387316,0.738125364944192,0.0365410567249451,-1.43721889750957
FBgn0002174,FBgn0261846,0.00938226556130737,0.659890087741545,0.0749731932629788,-1.12509399126197
FBgn0035486,FBgn0261816,0.00935740761137249,0.606087565006014,0.111218090132372,-0.953824567019356
FBgn0036480,FBgn0264485,0.00934495239799187,0.885260500074946,0.00345888783908751,-2.4610635205688
FBgn0027594,FBgn0267937,0.00917872284112566,0.647538291818326,0.082568252658439,-1.08318690601602
FBgn0028542,FBgn0011890,0.00917802512491102,0.527709354135951,0.178892360766224,-0.747408204697642
FBgn0263408,FBgn0264786,0.00913063323931494,0.338794325891876,0.411695998276988,-0.385423354364351
FBgn0036958,FBgn0266682,0.00912649080717213,0.893759087929396,0.00276408971546577,-2.55844786495218
FBgn0011829,FBgn0267080,0.00911722271332905,0.749488332267779,0.0322884451975081,-1.49095286729006
FBgn0038425,FBgn0051579,0.00911102420072199,0.605404201154252,0.111731612530818,-0.95182393337233
FBgn0266632,FBgn0267441,0.00910590524047413,-0.810128778720849,0.0147682954709143,-1.8306696272537
FBgn0052461,FBgn0262594,0.00910529624231234,0.450702559829378,0.262399298917365,-0.581037329649755
FBgn0036118,FBgn0262989,0.00902371922657928,0.481349017868589,0.227189244554511,-0.643612232561332
FBgn0267707,FBgn0261846,0.0090211642205416,0.758131105380915,0.0292672305956451,-1.53361837062846
FBgn0039209,FBgn0262623,0.00901468797225255,0.681577478904187,0.0626660635642222,-1.20296758511541
FBgn0029894,FBgn0036594,0.00900984537672935,0.860379551029357,0.00611173306422129,-2.21383562224443
FBgn0263763,FBgn0037910,0.00895780038805972,0.891014963013523,0.00297747899665504,-2.52615129337801
FBgn0054049,FBgn0035299,0.00892458698121009,1,2.2250738585072e-308,-307.652655568589
FBgn0000527,FBgn0041238,0.00891973598019314,0.304982867216102,0.462627445559095,-0.334768606106477
FBgn0011890,FBgn0031130,0.00891953036808064,0.968145167250728,7.88918198630077e-05,-4.10296802559325
FBgn0030121,FBgn0265372,0.00891923534983472,0.777088039574046,0.0232679819326852,-1.63324128209811
FBgn0266862,FBgn0265733,0.0089124668074028,0.90349119498762,0.00208767926499517,-2.68033622221297
FBgn0263029,FBgn0030384,0.00890698538902171,0.581512366861044,0.13053118484315,-0.884285719840172
FBgn0026878,FBgn0265805,0.00890585224016959,0.404573482960473,0.320135698995412,-0.494665894077517
FBgn0262513,FBgn0011953,0.00890487584375038,0.782895097346626,0.0215981025915867,-1.66558440024716
FBgn0040519,FBgn0085765,0.00889988836336632,0.847524588452994,0.00787961654884756,-2.1034949163647
FBgn0021764,FBgn0065046,0.00887865300420461,0.697796954556704,0.0543046514770458,-1.26516296922709
FBgn0037368,FBgn0266647,0.00887276455626318,0.457635393310448,0.254209822842647,-0.594807672019869
FBgn0030377,FBgn0052751,0.00887063774672412,0.880766182627962,0.00386785160316025,-2.41253019673096
FBgn0053510,FBgn0085472,0.00886933300993191,0.77839115696591,0.022886524627019,-1.64042015096462
FBgn0050460,FBgn0263765,0.00886510500748907,0.720378491562183,0.0438361748134844,-1.35816734982194
FBgn0265895,FBgn0030570,0.00882747305312109,0.970867895035289,6.04669402515633e-05,-4.21848200700977
FBgn0032877,FBgn0011910,0.0088222318845569,0.936050822948973,0.00062284353849857,-3.20562103664858
FBgn0038649,FBgn0262944,0.00881556563948675,0.564647978343367,0.144792696585925,-0.83925334361142
FBgn0033202,FBgn0036592,0.00879471627863191,0.712936800264353,0.0471373795909534,-1.32663456395893
FBgn0014127,FBgn0039577,0.00878288727018719,0.839997255057697,0.00905096768426709,-2.04330498571518
FBgn0002440,FBgn0265316,0.00876893952329084,0.871917048934606,0.00476138388438454,-2.32226680232114
FBgn0266096,FBgn0085494,0.00873289782920247,0.589350743694519,0.124182040785122,-0.905941207314689
FBgn0010113,FBgn0036767,0.00868809730668983,0.511944807479936,0.19463436580442,-0.710780475673343
FBgn0003751,FBgn0262994,0.00868594105301086,0.650455620804862,0.0807357330227833,-1.09293420728672
FBgn0051694,FBgn0265683,0.00868055291320186,-0.562940448201961,0.14628244070049,-0.834807802135525
FBgn0030438,FBgn0265683,0.00868055291320186,-0.657176862936905,0.07660486316692,-1.11574365883324
FBgn0261561,FBgn0034658,0.00867531228616997,0.741463311602436,0.0352583939215618,-1.45273747442153
FBgn0040333,FBgn0264552,0.00865123163037253,0.604858113617756,0.112142942473946,-0.950228052808304
FBgn0029920,FBgn0267945,0.00861754143246355,0.813239630621585,0.0140893655043195,-1.85110856431984
FBgn0033993,FBgn0034551,0.00861535863139166,0.849567088216316,0.00757943041511438,-2.12036342983856
FBgn0028583,FBgn0053773,0.00859777258094492,0.828044608535689,0.0111282801706876,-1.95357194888122
FBgn0038463,FBgn0266231,0.0085733530651133,0.364301281423294,0.374964379114263,-0.426009987442683
FBgn0266195,FBgn0031130,0.00856633094484714,0.653267955238488,0.0789918413063563,-1.10241776261597
FBgn0037322,FBgn0036707,0.00854830795355523,0.638742052080693,0.0882390849544067,-1.05433900420921
FBgn0265846,FBgn0004915,0.00852907120812387,0.775419712956459,0.0237620701518284,-1.6241157263023
FBgn0038302,FBgn0053908,0.00851955953971524,0.719376865394869,0.044272085645855,-1.35387001804487
FBgn0050151,FBgn0085664,0.00851441700281512,0.729942686159465,0.0398045160976937,-1.40006765141773
FBgn0039135,FBgn0035642,0.00851126264064274,0.630182816418323,0.0939677477352682,-1.02702118240151
FBgn0259702,FBgn0035642,0.00851126264064274,0.989816954962544,2.61969208858244e-06,-5.58174975146195
FBgn0267441,FBgn0035642,0.00851126264064274,0.955432869694124,0.000213970187627495,-3.66964673249569
FBgn0004828,FBgn0267135,0.00850070894643179,0.584918630448173,0.127750301630537,-0.893638065781717
FBgn0083960,FBgn0266844,0.00849897574682404,0.638052575129384,0.0886928413897536,-1.05211143169465
FBgn0036858,FBgn0036716,0.00848362803680379,0.6865903687028,0.0600055655537356,-1.22180846666337
FBgn0035591,FBgn0025821,0.00847811131869878,0.879574126110162,0.00398130698723248,-2.39997433391531
FBgn0264326,FBgn0275433,0.00847594434229262,0.666662944049418,0.0709898086326238,-1.14880399455281
FBgn0086666,FBgn0051939,0.00844985393283124,0.561276222171693,0.147742495703825,-0.83049456904019
FBgn0037675,FBgn0053893,0.00844889870150999,0.603716739880845,0.113005430805891,-0.946900684725821
FBgn0034662,FBgn0267564,0.00840744246047816,0.818580645668477,0.0129702061027741,-1.8870531227142
FBgn0264344,FBgn0086052,0.00839529851434506,0.59270076428452,0.1215225702658,-0.91534305349312
FBgn0035741,FBgn0267513,0.00838736460015095,0.717781288947022,0.0449718811173221,-1.34705894605922
FBgn0004009,FBgn0267513,0.00838736460015095,0.631843005597878,0.0928403008359121,-1.03226346094377
FBgn0031861,FBgn0053861,0.00836949686469737,0.75753630008208,0.0294693272759299,-1.53062977808581
